task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg3_early,seg4_early,switch_block,detect_cap,detect_delta,n_expansions,n_snaps,seg1_cap,seg2_cap,seg1_delta,seg2_delta
joint_self_evo,random_graph_k25,rls_single,0,256,40000,5.751816749572754,0.8305545086806863,1.0,0.8,0.9,0.735,0.8,0.695,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,1,256,40000,4.781744718551636,0.8424612446923445,1.0,0.9,0.9,0.7,0.8,0.665,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,2,256,40000,5.640903472900391,0.841958744755157,0.92,0.865,0.9,0.74,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,3,256,40000,4.897332429885864,0.8319853772518279,0.98,0.8,0.9,0.7625,0.83,0.65,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,6,256,40000,5.884155511856079,0.8500012562498428,0.965,0.9,0.9,0.8,0.84,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,7,256,40000,4.930447578430176,0.8369601266299841,0.92,0.8,0.9,0.72,0.8,0.685,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,4,256,40000,6.4434494972229,0.8561794929775635,0.9,0.9,0.9,0.8,0.84,0.735,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,5,256,40000,4.8179192543029785,0.8425642571794679,1.0,0.875,0.9,0.8,0.9,0.61,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,8,256,40000,6.306082487106323,0.8470365066204365,1.0,0.8,0.9,0.8,0.9,0.605,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,9,256,40000,4.9844019412994385,0.8403482324564708,1.0,0.8,0.9,0.8,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,0,256,40000,7.766074180603027,0.833389864576267,1.0,0.805,0.9,0.71,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,1,256,40000,6.978813648223877,0.8397452325318461,1.0,0.895,0.9,0.7,0.8,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,2,256,40000,7.614238262176514,0.8320092459988443,0.9,0.9,0.9,0.73,0.8,0.675,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,3,256,40000,7.168364763259888,0.8201527599809051,0.9,0.8,0.87,0.72,0.8,0.685,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,4,256,40000,7.712263345718384,0.8435164945604382,0.915,0.9,0.9,0.7,0.8,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,5,256,40000,7.095219612121582,0.8383143639607045,1.0,0.845,0.9,0.7,0.8,0.68,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,0,256,40000,5.922185659408569,0.8788208838973894,1.0,0.83,0.9,0.9,0.9,0.895,-1,nan,nan,0,66,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,1,256,40000,5.69859766960144,0.8833672520790935,1.0,0.9,0.9,0.81,0.815,0.8,-1,nan,nan,0,66,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,2,256,40000,6.109707832336426,0.880373608703299,1.0,0.9,0.9,0.9,0.9,0.8,-1,nan,nan,0,70,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,3,256,40000,5.98363733291626,0.8641453732318283,1.0,0.805,0.9,0.8174999999999999,0.9,0.8,-1,nan,nan,0,65,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,4,256,40000,6.037309885025024,0.888416120197985,0.99,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,75,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,5,256,40000,5.791465759277344,0.8973367503329063,1.0,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,71,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,8,256,40000,7.491735935211182,0.8586178739227659,1.0,0.9,0.9,0.8,0.82,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,9,256,40000,7.366516351699829,0.833262983342127,0.9,0.9,0.9,0.725,0.81,0.675,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,6,256,40000,7.7655956745147705,0.8459812567523429,1.0,0.825,0.9,0.79,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,7,256,40000,7.341309070587158,0.831258008592749,0.9,0.855,0.805,0.8,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,8,256,40000,5.69668984413147,0.8922615009673124,1.0,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,70,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,9,256,40000,5.696903467178345,0.8850707268661591,1.0,0.9,0.9,0.9,0.9,0.885,-1,nan,nan,0,67,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,6,256,40000,5.672023057937622,0.9023881309514835,1.0,0.9,0.935,0.9,0.9,0.9,-1,nan,nan,0,70,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,7,256,40000,5.8266682624816895,0.8776626215421722,1.0,0.89,0.9,0.845,0.9,0.8,-1,nan,nan,0,67,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_auto,0,256,40000,14.90922999382019,0.8305545086806863,1.0,0.8,0.9,0.735,0.8,0.695,-1,nan,nan,0,0,0.9033333333333333,0.7493333333333332,0.037499999999999964,0.027333333333333338
joint_self_evo,random_graph_k25,rls_auto,1,256,40000,15.93300986289978,0.8424612446923445,1.0,0.9,0.9,0.7,0.8,0.665,-1,nan,nan,0,0,0.9258333333333333,0.787,-0.005000000000000016,0.002999999999999994
joint_self_evo,random_graph_k25,rls_auto,2,256,40000,14.602029085159302,0.841958744755157,0.92,0.865,0.9,0.74,0.9,0.6,-1,nan,nan,0,0,0.7808333333333334,0.7716666666666666,0.06666666666666667,-0.0006666666666666598
joint_self_evo,random_graph_k25,rls_auto,3,256,40000,14.96107006072998,0.8319853772518279,0.98,0.8,0.9,0.7625,0.83,0.65,-1,nan,nan,0,0,0.8508333333333333,0.7306666666666666,0.021666666666666667,0.007999999999999991
joint_self_evo,random_graph_k25,rls_auto,6,256,40000,14.796567916870117,0.8500012562498428,0.965,0.9,0.9,0.8,0.84,0.7,-1,nan,nan,0,0,0.8791666666666668,0.7533333333333333,0.021666666666666667,0.014000000000000007
joint_self_evo,random_graph_k25,rls_auto,7,256,40000,14.692439079284668,0.8369601266299841,0.92,0.8,0.9,0.72,0.8,0.685,-1,nan,nan,0,0,0.9008333333333335,0.7603333333333333,-0.0025000000000000022,0.014333333333333335
joint_self_evo,random_graph_k25,rls_auto,4,256,40000,14.811770915985107,0.8561794929775635,0.9,0.9,0.9,0.8,0.84,0.735,-1,nan,nan,0,0,0.8908333333333334,0.7786666666666666,0.04000000000000002,0.018333333333333333
joint_self_evo,random_graph_k25,rls_auto,5,256,40000,14.800169944763184,0.8425642571794679,1.0,0.875,0.9,0.8,0.9,0.61,-1,nan,nan,0,0,0.93,0.7739999999999999,0.009166666666666656,0.01766666666666666
joint_self_evo,random_graph_k25,rls_auto,8,256,40000,15.164093971252441,0.8470365066204365,1.0,0.8,0.9,0.8,0.9,0.605,-1,nan,nan,0,0,0.9349999999999999,0.7846666666666665,-0.013333333333333319,0.0016666666666666741
joint_self_evo,random_graph_k25,rls_auto,9,256,40000,15.53242564201355,0.8403482324564708,1.0,0.8,0.9,0.8,0.8,0.7,-1,nan,nan,0,0,0.7625,0.7056666666666668,0.006666666666666687,0.0026666666666666705
joint_self_evo,random_graph_k25,pop_auto,0,256,40000,15.254170417785645,0.8788208838973894,1.0,0.83,0.9,0.9,0.9,0.895,-1,nan,nan,0,66,0.9033333333333333,0.7493333333333332,0.037499999999999964,0.027333333333333338
joint_self_evo,random_graph_k25,pop_auto,1,256,40000,15.80535888671875,0.8833672520790935,1.0,0.9,0.9,0.81,0.815,0.8,-1,nan,nan,0,66,0.9258333333333333,0.787,-0.005000000000000016,0.002999999999999994
joint_self_evo,random_graph_k25,pop_auto,2,256,40000,15.520281314849854,0.880373608703299,1.0,0.9,0.9,0.9,0.9,0.8,-1,nan,nan,0,70,0.7808333333333334,0.7716666666666666,0.06666666666666667,-0.0006666666666666598
joint_self_evo,random_graph_k25,pop_auto,3,256,40000,16.96420669555664,0.8641453732318283,1.0,0.805,0.9,0.8174999999999999,0.9,0.8,-1,nan,nan,0,65,0.8508333333333333,0.7306666666666666,0.021666666666666667,0.007999999999999991
joint_self_evo,random_graph_k25,pop_auto,4,256,40000,15.466590404510498,0.888416120197985,0.99,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,75,0.8908333333333334,0.7786666666666666,0.04000000000000002,0.018333333333333333
joint_self_evo,random_graph_k25,pop_auto,5,256,40000,17.13801407814026,0.8973367503329063,1.0,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,71,0.93,0.7739999999999999,0.009166666666666656,0.01766666666666666
joint_self_evo,parallel,rls_single,0,256,40000,3.9496920108795166,0.7301211024848622,0.9,0.54,0.9,0.53,0.9,0.58,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,1,256,40000,3.68129301071167,0.7166829979146254,0.9,0.5,0.9,0.5,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,2,256,40000,3.888946533203125,0.715926735509158,0.9,0.5,0.9,0.6,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,3,256,40000,3.685163974761963,0.7002273812215773,0.9,0.48,0.9,0.535,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,4,256,40000,3.541555643081665,0.7204492349438457,0.9,0.55,0.9,0.52,0.9,0.53,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,5,256,40000,3.7644124031066895,0.704821486897314,0.9,0.5,0.9,0.5,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,6,256,40000,3.670732021331787,0.7269076153865481,0.9,0.5,0.9,0.6,0.9,0.51,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,7,256,40000,3.4805760383605957,0.7062309992211252,0.9,0.5,0.9,0.5,0.9,0.505,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,8,256,40000,3.930324077606201,0.722006984749127,0.9,0.535,0.9,0.575,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_single,9,256,40000,2.7851755619049072,0.7213009723373784,0.9,0.57,0.9,0.5,0.94,0.525,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,0,256,40000,5.835031032562256,0.7759227155096605,0.9,0.68,0.9,0.6,0.9,0.62,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,1,256,40000,5.145468711853027,0.7705748599281426,0.9,0.6,0.9,0.645,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,2,256,40000,5.504484415054321,0.7598716112660485,0.9,0.595,0.9,0.7,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,3,256,40000,5.355884075164795,0.7374148890731388,0.9,0.58,0.99,0.6,0.9,0.5,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,4,256,40000,5.481266736984253,0.7618049797743776,0.9,0.6,0.9,0.6,0.9,0.58,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,5,256,40000,5.413994789123535,0.7537649807793774,0.9,0.6,0.9,0.6,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,0,256,40000,2.8633673191070557,0.767133991608251,0.925,0.6,0.98,0.6,0.9,0.6,-1,nan,nan,0,46,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,1,256,40000,2.917517900466919,0.7706514911685636,0.96,0.6,0.985,0.6,0.9,0.6,-1,nan,nan,0,45,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,6,256,40000,5.04484486579895,0.7692972538378432,0.9,0.615,0.9,0.62,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,7,256,40000,5.21242356300354,0.7491972563503431,0.9,0.535,0.9,0.635,0.9,0.63,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,8,256,40000,5.000349521636963,0.7679116102610487,0.9,0.62,0.92,0.605,0.9,0.595,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,rls_quad_start,9,256,40000,5.183447599411011,0.7758774905153137,0.9,0.7,1.0,0.6,0.905,0.515,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,2,256,40000,3.1753580570220947,0.7631617296047838,0.9,0.565,1.0,0.605,1.0,0.6,-1,nan,nan,0,42,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,3,256,40000,3.617307662963867,0.7409298761337655,0.9,0.5,0.93,0.6,0.9,0.6,-1,nan,nan,0,44,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,4,256,40000,3.093912124633789,0.7532624808421899,0.9,0.59,0.925,0.6,0.9,0.6,-1,nan,nan,0,44,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,5,256,40000,4.1192615032196045,0.7557774930278134,0.935,0.6,0.9,0.6,0.9,0.6,-1,nan,nan,0,45,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,6,256,40000,3.184260845184326,0.7666051104243612,0.9,0.6,0.9,0.635,0.9,0.6,-1,nan,nan,0,44,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,7,256,40000,4.1293628215789795,0.7542461244692344,0.9,0.6,1.0,0.6,0.9,0.6,-1,nan,nan,0,45,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,8,256,40000,3.106123208999634,0.7571819803522524,0.91,0.59,0.905,0.61,0.9,0.6,-1,nan,nan,0,43,nan,nan,nan,nan
joint_self_evo,parallel,pop_mem,9,256,40000,4.153568983078003,0.7529584683801914,0.9,0.595,1.0,0.58,1.0,0.6,-1,nan,nan,0,43,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_auto,6,256,40000,18.749367237091064,0.9023881309514835,1.0,0.9,0.935,0.9,0.9,0.9,-1,nan,nan,0,70,0.8791666666666668,0.7533333333333333,0.021666666666666667,0.014000000000000007
joint_self_evo,random_graph_k25,pop_auto,7,256,40000,15.567445278167725,0.8776626215421722,1.0,0.89,0.9,0.845,0.9,0.8,-1,nan,nan,0,67,0.9008333333333335,0.7603333333333333,-0.0025000000000000022,0.014333333333333335
joint_self_evo,random_graph_k25,pop_auto,8,256,40000,18.206936836242676,0.8922615009673124,1.0,0.9,0.9,0.9,0.9,0.9,-1,nan,nan,0,70,0.9349999999999999,0.7846666666666665,-0.013333333333333319,0.0016666666666666741
joint_self_evo,random_graph_k25,pop_auto,9,256,40000,15.255035400390625,0.8850707268661591,1.0,0.9,0.9,0.9,0.9,0.885,-1,nan,nan,0,67,0.7625,0.7056666666666668,0.006666666666666687,0.0026666666666666705
joint_self_evo,parallel,rls_auto,0,256,40000,7.387657642364502,0.7587133489108314,0.9,0.6,0.9,0.6,0.9,0.67,779,0.5583333333333333,0.1333333333333333,1,0,0.9416666666666667,0.6089285714285715,-0.0016666666666666718,0.04761904761904762
joint_self_evo,parallel,rls_auto,1,256,40000,8.852641344070435,0.7594959925630009,0.9,0.565,0.9,0.6875,0.9,0.615,759,0.5583333333333333,0.1333333333333333,1,0,0.9225000000000001,0.6557692307692307,-1.1102230246251566e-17,0.012820512820512827
joint_self_evo,parallel,rls_auto,2,256,40000,8.657074689865112,0.7388934951383131,0.9,0.5,0.9125000000000001,0.68,0.94,0.6,999,0.48333333333333334,0.14999999999999997,1,0,0.89,0.56,0.02916666666666664,0.04233333333333333
joint_self_evo,parallel,rls_auto,3,256,40000,8.811129570007324,0.7216100097987489,0.9,0.5,0.9,0.625,0.9,0.6,859,0.475,0.20000000000000007,1,0,0.9241666666666667,0.5703703703703703,-0.02416666666666667,0.05833333333333332
joint_self_evo,parallel,rls_auto,8,256,40000,8.47662878036499,0.7505012436873445,0.9,0.58,0.9,0.6,0.9,0.595,739,0.625,0.17500000000000004,1,0,0.9141666666666666,0.6381944444444444,0.004166666666666674,0.03958333333333334
joint_self_evo,parallel,rls_auto,9,256,40000,8.223855972290039,0.7452966005879249,0.9,0.6,0.9,0.6,0.9,0.555,879,0.5083333333333333,0.25,1,0,0.915,0.5964912280701754,-0.016666666666666663,0.06578947368421052
joint_self_evo,parallel,pop_auto,0,256,40000,8.722577333450317,0.7752958468380192,0.925,0.61,0.9,0.61,0.9,0.68,779,0.5583333333333333,0.1333333333333333,1,47,0.9416666666666667,0.6089285714285715,-0.0016666666666666718,0.04761904761904762
joint_self_evo,parallel,pop_auto,1,256,40000,7.975801706314087,0.7911534886058139,0.96,0.6,1.0,0.7,0.9,0.6275,759,0.5583333333333333,0.1333333333333333,1,45,0.9225000000000001,0.6557692307692307,-1.1102230246251566e-17,0.012820512820512827
joint_self_evo,parallel,rls_auto,4,256,40000,12.653909921646118,0.7204492349438457,0.9,0.55,0.9,0.52,0.9,0.53,-1,nan,nan,0,0,0.9258333333333333,0.6016666666666667,-0.016666666666666653,0.04033333333333331
joint_self_evo,parallel,rls_auto,5,256,40000,6.748110771179199,0.7341411019823623,0.9,0.565,0.9,0.6,0.9,0.6,779,0.44166666666666665,0.17500000000000004,1,0,0.9366666666666668,0.6011904761904762,0.007499999999999984,0.041666666666666664
joint_self_evo,parallel,pop_auto,2,256,40000,9.74876093864441,0.7745709906786262,0.9,0.565,1.0,0.7,1.0,0.6,999,0.48333333333333334,0.14999999999999997,1,44,0.89,0.56,0.02916666666666664,0.04233333333333333
joint_self_evo,parallel,pop_auto,3,256,40000,6.791826248168945,0.7497500062812493,0.9,0.515,0.91,0.655,0.9,0.6,859,0.475,0.20000000000000007,1,43,0.9241666666666667,0.5703703703703703,-0.02416666666666667,0.05833333333333332
joint_self_evo,parallel,rls_auto,6,256,40000,12.09625506401062,0.7269842466269691,0.9,0.5,0.9,0.6,0.9,0.51,1799,0.55,0.17499999999999993,1,0,0.9025000000000001,0.5683333333333334,-0.026666666666666682,0.03400000000000001
joint_self_evo,parallel,rls_auto,7,256,40000,9.489530324935913,0.7163840104519987,0.9,0.5,0.9,0.58,0.9,0.5,1739,0.5833333333333334,0.17499999999999993,1,0,0.9058333333333334,0.5656666666666667,-0.004166666666666652,0.04266666666666666
joint_self_evo,parallel,pop_auto,4,256,40000,12.16296935081482,0.7532624808421899,0.9,0.59,0.925,0.6,0.9,0.6,-1,nan,nan,0,44,0.9258333333333333,0.6016666666666667,-0.016666666666666653,0.04033333333333331
joint_self_evo,parallel,pop_auto,5,256,40000,3.8658270835876465,0.7688135976483003,0.935,0.6,0.9,0.625,0.9,0.63,779,0.44166666666666665,0.17500000000000004,1,44,0.9366666666666668,0.6011904761904762,0.007499999999999984,0.041666666666666664
